video_name,caption_index,caption
-YwZOeyAQC8_15.mp4,1,a man sits playing video games on his tv while holding a baby with two small dogs resting on a nearby sofa
1AIVH5cEWrI_35.mp4,1,two friends singing and swaying together while looking into each other's eyes
2-8-0-2-5-4-8-8-5028025488_7.mp4,1,a young girl sits looks at a book turning the pages while a younger child looks over her shoulder
3PJaYWt0cws_5.mp4,1,a young boy skateboarding at a skate park
7-5-1-0-3-6-9-8-3775103698_9.mp4,1,q woman explaining a picture to a man
8-6-0-3-9-6-6-0-19586039660_4.mp4,1,two babies play with toy
9hlyu-wDkg4_4.mp4,1,two men are outside and talking
9jw7D-exQDg_77.mp4,1,two children sit next to eachother with microphones in their hands and the girl in the red shirt watches the girl in the pattern shirt while she talks
FJzKgF-nR0E_15.mp4,1,a woman playfully laughs at a child who looks back at her
FSQ2vBJ0hmw_20.mp4,1,two babies are lying in the cot kicking their legs one on his back the other is on his front
IkTAuzVeD2Q_46.mp4,1,a child feeding another
WJ-84ioZqcc_41.mp4,1,two children play with toy balls on a bed
b7y36KyAIoI_120.mp4,1,a man is describing and discussing food with a woman beside him in a kitchen
bing-heavy_com_entertainment_2017_10_this-is-us-spoilers-chrissy-metz-kate-singing-songs__249.mp4,1,a lady is sitting down and speaking into a microphone
eJRbWjg73fE_116.mp4,1,father showing teenager how to cook
flickr-0-1-6-8-3-2-4-3-4401683243_31.mp4,1,two people sea fishing on the edge of a metal fence
flickr-0-5-6-9-8-9-0-8-4405698908_26.mp4,1,two women are on a stage singing 
flickr-0-6-1-2-0-7-8-4-4606120784_26.mp4,1,a man singing & playing the keyboard while the other plays drums
flickr-0-9-3-5-5-6-6-9-5809355669_3.mp4,1,a man is drinking a drink whilst the baby is laughing at him
flickr-0-9-4-9-7-9-0-1-3009497901_3.mp4,1,baby watching a child read them a picture story 
flickr-1-0-3-5-1-1-0-6-2810351106_1.mp4,1,two toddlers with one with a feather brush tickling the other toddler with it
flickr-1-1-2-0-2-4-6-6-7211202466_8.mp4,1,a man and a woman hiking with 3 dogs
flickr-1-6-4-12557575164_3.mp4,1,an asian man and daughter on a rail track
flickr-1-8-1-1-6-5-4-7-6118116547_81.mp4,1,a man is reading to a baby 
flickr-1-9-7-9-4-8-8-5-5319794885_45.mp4,1,a cook preparing a meal
flickr-2-0-5-7-0-2-3-3-4720570233_26.mp4,1,one man is frosting cupcakes while the other man is watching and paying attention
flickr-2-1-6-6-7-1-1-2-16621667112_15.mp4,1,two men looking at a computer screen with one man pointing something out to the other
flickr-2-2-8-4-6-0-2-0-8222846020_11.mp4,1,a man is explaining something to another man right in front of him
flickr-2-3-8-6-9-3-6-0-2823869360_23.mp4,1,two babies are playing with tupperware inside a drawer
flickr-2-8-2-7-7-6-8-9-3028277689_11.mp4,1,a boy plays with a babies arms whilst the baby is resting
flickr-3-2-7-8-3-1-4-7-16232783147_5.mp4,1,a woman is playing with a baby who is laughing
flickr-3-3-2-8-3-2-3-7-2833283237_47.mp4,1,a boy is trying to brush a dog's teeth while a woman films it
flickr-3-5-1-9-5-7-1-6-5535195716_54.mp4,1,2 children in the bath
flickr-4-0-4-9-3-3-4-4-15540493344_49.mp4,1,a man and a child play violins together in a living room
flickr-4-1-6-2-6-0-0-0-23041626000_1.mp4,1,a old lady is making silly faces to a baby
flickr-4-1-7-8-1-9-6-2-3941781962_7.mp4,1,therparist set up little block for her patient to practise walking
flickr-4-2-6-5-6-4-7-1-5442656471_12.mp4,1,a baby is playing with toy cars as the grown up watches
flickr-4-7-1-4-7-6-4-0-2447147640_28.mp4,1,two women deciding what to eat first
flickr-4-7-7-6-8-6-8-3-10147768683_30.mp4,1,two men are walking through bushes in the mountains
flickr-4-8-3-9-9-3-0-9-6748399309_20.mp4,1,a child in skiing gear being propped up by an adult and released to move down the hill slightly
flickr-4-9-9-9-8-3-1-6-25549998316_29.mp4,1,a man and a young girl playing cards
flickr-5-0-2-0-2-2-2-2-2450202222_18.mp4,1,two babies laying on the floor and looking up playing with toys
flickr-5-2-4-7-4-1-5-5-6952474155_71.mp4,1,two people on a stage one is singing and one is playing the guitar
flickr-5-3-3-2-7-2-4-7-3053327247_9.mp4,1,two drummers beat in rhythm together
flickr-5-4-8-7-2-0-2-6-2454872026_5.mp4,1,two kids are dancing around in their lounge 
flickr-5-5-5-1-2-1-2-0-2755512120_95.mp4,1,two small boys reach for each other as they sit next to each other apparently at a table while eating
flickr-5-7-2-8-0-0-7-2-3957280072_16.mp4,1,two men playing the guitar and one of them singing
flickr-6-2-2-9-2-0-1-2-5362292012_12.mp4,1,an older child blows a balloon to entertain a baby
flickr-7-3-3-1-0-7-1-8-2773310718_8.mp4,1,a man fishing and unwiding his fishing rod while a boy stands and watches
flickr-7-4-1-1-3-9-5-4-8274113954_15.mp4,1,a man walking with an infant
flickr-7-7-0-5-0-7-0-9-4177050709_33.mp4,1,a man and woman are in the kitchen the man goes to help the lady with some preparation
flickr-7-7-6-9-8-7-4-3-6077698743_33.mp4,1,a woman and a boy are sitting in the water playing 
flickr-7-8-3-9-5-6-9-1-3078395691_54.mp4,1,two babies sitting on a carpet
flickr-7-8-4-4-1-9-1-7-2878441917_1.mp4,1,two people playing musical instruments together
flickr-7-8-5-0-9-0-9-0-4078509090_12.mp4,1,this looks like a mother feeding her baby some food during their meal
flickr-7-9-6-9-9-2-6-7-5479699267_3.mp4,1,a man in a red shirt is pulling a buggy with a child inside it
flickr-8-3-1-6897055831_10.mp4,1,the man is pointing to words on a book while the child reads it aloud
flickr-8-4-2-6-5-3-9-1-9784265391_7.mp4,1,a woman playing with a infant
flickr-8-7-2-6-6-0-0-8-3387266008_18.mp4,1,an older sibling in the bathtub with a younger sibling outside the tub
flickr-8-9-7-9-5-0-4-1-6189795041_19.mp4,1,an individual fixing up shopping carts
flickr-9-3-0-5-5-4-4-2-3593055442_11.mp4,1,a child speaking into a microphone
flickr-9-3-2-2-7-4-6-7-4593227467_2.mp4,1,two guys are walking down a step of dropping/uneven stone floors
flickr-9-6-7-8-7-6-4-6-2496787646_9.mp4,1,an adult is holding a baby who is waving around two plastic cups
flickr-9-7-4-6-7-4-5-2-2597467452_51.mp4,1,mom cautiously feeds her baby some water
flickr_R-1-2-8-9-1-4-3-5-4212891435_36.mp4,1,two children reading
giphy-10TNZYlPEDFR3a_3.mp4,1,there are two toddlers laughing one one is moving their hands in a expressive manner
giphy-5gH28DhukBKlq_2.mp4,1,a woman bowls while keeping one arm strangely straight
gvztLkrmEIg_137.mp4,1,two children using plastic chairs to help them ice skate and one falls over forwards
t2z1X76v4ys_178.mp4,1,a guy is using an electric buffer to clean the trunk of a car
twUN1iwMWgY_1320.mp4,1,boy stands behind a young woman and brushes her hair
vine-A-kid-bowing-a-wheel-JohnnyRandom-MgJUX6q5pV5_1.mp4,1,a boy fixing a bicycle wheel while a man watches and encourages
vine-Discussing-gopher-problems-with-Frank-from-the-parks-department-hLpauJl9VBw_1.mp4,1,a little girl watches as a man digs in the ground
vine-MBwjdF6eU79_2.mp4,1,one man knitting with headphones in sat next to another man on his computer
vine-MKEjBiBY6Fw_1.mp4,1,two woman playing a game on the floor
vine-MVvgr5hA3JD_1.mp4,1,a girl drinking water and almost shocking
vine-Nononononono-twerking-weird-clapping-no-Kevin-Marshall-hHqMIJdWz7E_3.mp4,1,two teenagers playing patter cake together while sat facing each other
vine-arm-wrestling-h6itJarOtiI_3.mp4,1,two people having a strength contest
vine-hxLaMMzZhv0_1.mp4,1,two girls are sitting on the floor both knitting
yt---kgxi3dRc8_202.mp4,1,2 men admiring a fish they are holding
yt--7QDJQU657I_4.mp4,1,a man is pretending to play the drums with his child on his lap
yt--Sv97d457Uw_137.mp4,1,there are two people talking over a fence with looks like a discussion about the overgrown plant and whose responsibility it is
yt--d_UnNREYO4_61.mp4,1,two indants laughing in buckets
yt-0Bzn7lSvTmA_9.mp4,1,2 babies laughing while sitting in blue chairs
